model,cv_MAE_mean,cv_MAE_std
Linear,89360.29054240731,4710.449071139438
Ridge,89212.27191977957,5162.658808231752
Lasso,89328.64098727546,4690.972172121235
RandomForest,6450.081203219884,1144.907931345442
XGBoost,16071.5953125,6496.341035046961
